genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
british singer-songwriter,0.342,0.279,1.0,-11.252,1.0,0.0376,0.521,0.00053,0.157,0.235,71.766,1.0
alt z,0.62,0.553,2.0,-10.228,0.0,0.0517,0.778,0.00191,0.0916,0.632,148.978,4.0
singer-songwriter pop,0.728,0.694,1.0,-5.634,1.0,0.0645,0.188,0.000876,0.149,0.574,101.985,4.0
j-pop,0.2,0.318,5.0,-11.267,1.0,0.0449,0.925,0.894,0.114,0.0465,119.593,4.0
filmi,0.654,0.408,3.0,-12.787,1.0,0.0695,0.743,0.0145,0.278,0.424,95.957,4.0
filmi,0.658,0.852,0.0,-3.07,1.0,0.044,0.000223,0.863,0.101,0.409,140.024,4.0
melodic drill,0.897,0.728,0.0,-5.833,0.0,0.167,0.594,0.0,0.0735,0.678,139.895,4.0
easy listening,0.157,0.378,2.0,-14.792,1.0,0.0389,0.674,0.914,0.136,0.144,141.592,4.0
atl hip hop,0.66,0.867,6.0,-4.285,0.0,0.116,0.11,0.0,0.0368,0.377,93.033,4.0
filmi,0.697,0.438,8.0,-8.411,1.0,0.0289,0.397,0.0,0.293,0.58,117.954,4.0
filmi,0.557,0.58,6.0,-6.566,0.0,0.0429,0.589,0.000245,0.124,0.453,80.051,4.0
indian lo-fi,0.508,0.0901,7.0,-22.456,1.0,0.0295,0.943,0.000875,0.18,0.11,70.198,4.0
desi pop,0.724,0.618,2.0,-9.007,1.0,0.0534,0.0533,0.704,0.0886,0.0683,100.021,4.0
detroit hip hop,0.764,0.376,1.0,-12.586,1.0,0.571,0.887,1.92e-06,0.375,0.884,97.546,4.0
modern indie pop,0.591,0.335,9.0,-8.331,0.0,0.0339,0.601,0.0,0.0976,0.293,86.448,5.0
australian dance,0.524,0.885,5.0,-3.079,1.0,0.037,0.0997,0.0,0.0708,0.395,119.954,4.0
pop,0.386,0.406,11.0,-10.419,1.0,0.0425,0.832,0.0597,0.171,0.205,78.616,4.0
alabama indie,0.615,0.373,6.0,-11.54,0.0,0.026,0.125,0.876,0.184,0.481,87.97,4.0
pop,0.72,0.819,1.0,-4.588,1.0,0.0362,0.0411,0.0,0.0606,0.898,131.99,4.0
hip pop,0.807,0.887,9.0,-3.726,1.0,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,4.0
lo-fi chill,0.601,0.556,7.0,-10.722,0.0,0.395,0.776,0.0465,0.236,0.457,80.003,4.0
alternative metal,0.473,0.871,9.0,-4.893,1.0,0.0456,0.0216,0.0,0.0525,0.47,146.975,4.0
dutch house,0.733,0.859,9.0,-5.03,0.0,0.033,0.479,0.0645,0.105,0.52,124.948,4.0
pop soul,0.426,0.177,7.0,-13.334,1.0,0.0346,0.797,0.00615,0.113,0.247,118.155,4.0
desi hip hop,0.813,0.734,10.0,-5.464,0.0,0.0577,0.072,0.0,0.118,0.652,107.967,4.0
canadian electronic,0.761,0.644,7.0,-6.765,1.0,0.0409,0.0532,0.00146,0.0838,0.444,111.993,4.0
video game music,0.732,0.777,0.0,-5.253,1.0,0.111,0.00202,0.667,0.268,0.536,160.061,4.0
comic,0.247,0.442,6.0,-8.703,1.0,0.041,0.716,0.0,0.0655,0.261,62.952,4.0
brostep,0.774,0.909,9.0,-2.89,0.0,0.0365,0.0173,0.121,0.0739,0.696,126.977,4.0
eurodance,0.645,0.984,4.0,-7.051,1.0,0.0508,0.164,0.00701,0.164,0.553,144.954,4.0
emo rap,0.636,0.808,0.0,-3.288,1.0,0.0534,0.0699,0.0,0.153,0.508,75.013,4.0
dance pop,0.578,0.639,4.0,-5.749,1.0,0.0374,0.0586,0.0,0.0944,0.296,108.045,4.0
k-pop,0.403,0.724,8.0,-6.064,1.0,0.246,0.377,0.0,0.0927,0.428,97.133,4.0
irish pop,0.188,0.411,0.0,-9.733,1.0,0.0484,0.174,0.153,0.0843,0.159,187.376,3.0
brostep,0.288,0.754,6.0,-3.376,0.0,0.0476,0.0938,0.0,0.238,0.311,174.095,4.0
dutch house,0.571,0.763,9.0,-6.66,1.0,0.05,0.0421,0.0,0.394,0.21,99.955,4.0
brostep,0.581,0.925,11.0,-3.213,1.0,0.151,0.00112,0.0,0.406,0.269,139.982,4.0
art pop,0.481,0.49,6.0,-10.098,1.0,0.0271,0.0536,0.123,0.0915,0.0378,152.04,4.0
alt z,0.665,0.488,4.0,-7.177,1.0,0.0981,0.272,0.000261,0.181,0.477,142.087,4.0
chillwave,0.303,0.68,9.0,-5.318,1.0,0.0731,0.547,0.929,0.872,0.0397,118.581,3.0
candy pop,0.591,0.864,4.0,-2.04,1.0,0.155,0.0386,0.0,0.139,0.302,128.073,4.0
boy band,0.607,0.678,8.0,-7.045,0.0,0.0335,0.00527,0.0,0.332,0.433,115.968,4.0
pop,0.572,0.811,6.0,-4.874,0.0,0.066,0.00887,5.65e-06,0.124,0.332,125.946,4.0
dance pop,0.603,0.834,5.0,-5.766,0.0,0.0417,0.0411,0.00609,0.105,0.376,89.957,4.0
dutch house,0.699,0.709,6.0,-6.316,0.0,0.0889,0.0976,0.000124,0.0852,0.426,149.975,4.0
viral pop,0.303,0.393,0.0,-8.926,1.0,0.0458,0.777,0.000102,0.106,0.396,180.23,4.0
indie pop rap,0.617,0.567,0.0,-4.188,1.0,0.0828,0.0584,0.0,0.0933,0.505,90.246,4.0
pop,0.603,0.618,1.0,-5.184,1.0,0.0319,0.0232,0.0,0.118,0.323,112.114,3.0
indie pop rap,0.74,0.7,4.0,-7.066,0.0,0.165,0.126,0.0,0.208,0.377,89.971,4.0
shanty,0.765,0.524,11.0,-5.821,0.0,0.101,0.755,0.0,0.239,0.551,114.697,4.0
neo soul,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,4.0
pop,0.54,0.557,11.0,-6.097,1.0,0.0259,0.00886,0.000182,0.307,0.287,75.035,4.0
filmi,0.683,0.975,7.0,-3.48,1.0,0.068,0.0719,0.000384,0.325,0.745,103.026,4.0
filmi,0.664,0.792,6.0,-5.294,1.0,0.0283,0.184,0.000417,0.106,0.86,139.961,4.0
classic pakistani pop,0.483,0.781,4.0,-5.926,1.0,0.0445,0.349,0.0,0.126,0.801,83.782,4.0
classical,0.428,0.237,7.0,-13.764,0.0,0.0351,0.987,0.896,0.0849,0.357,79.904,4.0
japanese chillhop,0.635,0.238,11.0,-20.089,0.0,0.0317,0.91,0.914,0.0857,0.136,120.005,4.0
japanese dub,0.453,0.434,4.0,-11.32,0.0,0.0291,0.249,0.478,0.0894,0.0768,108.016,4.0
cloud rap,0.741,0.354,2.0,-15.505,1.0,0.0812,0.656,0.702,0.384,0.037,120.018,4.0
video game music,0.257,0.113,5.0,-18.99,0.0,0.0386,0.936,0.93,0.102,0.0417,134.506,3.0
anime lo-fi,0.523,0.617,9.0,-7.76,0.0,0.0265,0.0856,0.857,0.139,0.0868,79.964,4.0
anime lo-fi,0.691,0.00816,9.0,-25.501,0.0,0.093,0.992,0.967,0.149,0.424,67.549,4.0
electra,0.722,0.514,0.0,-9.249,0.0,0.272,0.476,0.0114,0.105,0.568,103.992,4.0
social media pop,0.625,0.574,0.0,-7.343,1.0,0.0356,0.185,0.00405,0.159,0.305,92.089,4.0
acoustic pop,0.549,0.274,1.0,-12.565,1.0,0.0379,0.798,6.63e-06,0.103,0.207,86.664,4.0
electro house,0.673,0.659,3.0,-4.493,0.0,0.0439,0.539,0.0,0.129,0.628,88.011,4.0
bhangra,0.792,0.959,9.0,-2.579,0.0,0.0913,0.338,0.0,0.275,0.874,115.015,4.0
classical,0.115,0.301,0.0,-13.321,1.0,0.0449,0.637,0.935,0.154,0.0409,77.276,4.0
filmi,0.287,0.654,2.0,-5.57,1.0,0.0374,0.593,7.3e-06,0.11,0.241,84.015,4.0
